,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
1289,Mexico,6.92,6.42,6.17,7.33,7.25,6.75,10.0,6.67,10.0,6.5,74.0,0.13,0,27,1200.0,1200.0,1200.0,0,0,0,1,north_america
1290,Mexico,7.67,7.0,7.17,7.58,7.33,7.33,10.0,2.67,10.0,7.08,73.83,0.12,0,19,1250.0,1250.0,1250.0,0,0,0,1,north_america
1293,Honduras,7.0,7.17,6.83,7.17,7.0,7.17,8.0,8.0,8.0,7.08,73.42,0.11,1,16,1350.0,1350.0,1350.0,0,0,0,1,central_america_carib
1294,Mexico,7.08,7.08,6.92,7.08,6.92,6.92,8.0,8.0,8.0,6.92,72.92,0.0,1,1,1200.0,1200.0,1200.0,0,0,0,1,north_america
1298,Costa Rica,6.33,6.5,6.33,6.83,6.33,6.5,10.0,6.67,10.0,6.25,71.75,0.11,0,7,1200.0,1200.0,1200.0,0,0,0,1,central_america_carib
1299,Mexico,6.92,6.92,6.92,6.92,7.17,7.0,10.0,2.67,10.0,6.58,71.08,0.12,4,24,800.0,800.0,800.0,0,0,0,1,north_america
1300,Mexico,6.5,6.67,6.42,7.17,7.33,6.5,8.0,6.0,10.0,6.42,71.0,0.11,0,0,1800.0,1800.0,1800.0,0,0,0,1,north_america
1301,Mexico,6.92,7.0,6.83,6.92,7.42,6.92,6.0,6.0,10.0,6.75,70.75,0.12,0,1,1000.0,1000.0,1000.0,0,0,0,1,north_america
1303,Honduras,6.67,6.5,6.17,6.67,6.83,6.17,8.0,8.0,8.0,6.33,69.33,0.1,0,4,1450.0,1450.0,1450.0,0,0,0,1,central_america_carib
1304,Honduras,7.0,6.17,6.17,6.67,6.5,6.17,8.0,8.0,8.0,6.5,69.17,0.1,0,3,1450.0,1450.0,1450.0,0,0,0,1,central_america_carib
1305,Honduras,7.0,6.33,6.17,6.5,6.67,6.17,8.0,8.0,8.0,6.33,69.17,0.1,0,4,1450.0,1450.0,1450.0,0,0,0,1,central_america_carib
1306,Mexico,7.08,6.83,6.25,7.42,7.25,6.75,10.0,0.0,10.0,6.75,68.33,0.11,0,20,900.0,900.0,900.0,0,0,0,1,north_america
1307,Haiti,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6.0,6.0,6.42,67.92,0.14,8,16,350.0,350.0,350.0,0,0,0,0,central_america_carib
1308,Nicaragua,7.25,6.58,6.33,6.25,6.42,6.08,6.0,6.0,6.0,6.17,63.08,0.13,1,5,1100.0,1100.0,1100.0,1,0,0,0,central_america_carib
1309,Guatemala,7.5,6.67,6.67,7.67,7.33,6.67,8.0,1.33,1.33,6.67,59.83,0.1,0,4,1417.32,1417.32,1417.32,0,0,0,1,central_america_carib
